deaths_avg_per_10m,eliminations_avg_per_10m,final_blows_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,name,playerId,role,team,teamId,time_played_total,ultimates_earned_avg_per_10m
6.527082951514821,13.245546421669738,6.9199166476708065,407.3734504646745,7500.300008239569,Ado,5197,offense,SHD,4408,59567.1914832592,4.5326964941075145
5.960108467221174,16.675689722045274,8.760413397852073,847.5405788330391,8757.923282016662,Agilities,4142,offense,VAL,4405,95132.49685275555,4.2950622922514485
4.867939553301125,12.020275321559204,3.9161077970690616,6808.150705312814,6403.150537633638,AimGod,5863,support,BOS,4402,22062.722600400448,3.9161077970690616
7.443493224870811,14.670074837360417,7.557657231387234,715.1685600977924,8137.656238346117,aKm,3985,offense,DAL,4523,52555.96911042929,4.383897850230661
5.159713137018304,2.5653221653062834,0.6177121361219097,11574.017815704967,917.9443095554865,Altering,4621,support,SHD,4408,82562.72949433327,4.294916146447631
2.5622823673201878,0.5656987044732882,0.1830201690942991,11418.504000862504,144.6479276750098,Anamo,4841,support,NYE,4403,36061.59929072857,3.9432527341226264
5.736983579786039,14.684572649177108,8.65810824655783,119.80816853531545,8265.038113298313,Architect,5715,offense,SFS,4404,45598.87549996376,4.605376726892462
6.500050900019768,15.645471352373164,8.162854618629478,1253.5050497831758,8482.879450114156,Arhan,5508,flex,HOU,4525,7938.39937466383,4.686083206990996
3.2101052271576416,2.240385939787104,0.42355555080552215,10907.058758080248,608.0185834254252,Ark,4652,support,NYE,4403,107660.02219372988,3.940181242361897
5.96850596370067,18.2815626933384,8.832231765347034,97.60766306210799,7464.652823157578,Asher,4646,offense,GLA,4406,62226.627946555614,5.534608114966373
6.982037300586839,11.96920680100601,3.4794205816877937,27.96616744030963,4999.388428587297,aWesomeGuy,5443,tank,FLA,4407,51732.7514090538,3.247459209575274
7.310018790238082,16.82464642197654,8.79357135651089,690.0459490519377,9295.289901313103,BABYBAY,4491,offense,SFS,4404,72393.79476106167,4.881633863322257
4.84162908724124,1.083849943122369,0.22066406027641042,10668.828942574113,346.85321381937484,Bani,4624,support,HOU,4525,92448.22185564041,4.082285115113592
5.338658177082295,13.311629016720836,4.4551668137709965,6915.991882632268,5937.148079390052,Bdosin,4655,support,LDN,4410,111376.30098748207,3.9972597047377016
4.727583825647925,3.8815033254858426,0.8940541367692111,9200.666599221184,1060.6769527888364,BigGoose,4643,support,GLA,4406,137575.56163710356,3.798639771346257
5.835504546276783,16.527128260434246,8.75034198197947,186.96176765730624,7500.115295496218,birdring,4656,offense,LDN,4410,102921.69172984362,4.436382577139493
4.620477276154457,17.122945199866518,5.826248886188347,94.105307397987,6325.482465445582,Bischu,4639,flex,GLA,4406,121416.02836036682,3.3801138576359877
5.598853044940953,6.368895870606185,1.347574944914155,8423.738368127253,2030.47176561587,Boink,4625,support,HOU,4525,37400.517270088196,3.657703421909849
5.416823308770157,11.741801583786284,3.3620080316075573,8408.12418753481,5358.464236743048,Boombox,4079,support,PHI,4524,130814.67856866121,4.146323684274532
4.742339671852293,19.303130394519012,8.817135929484909,0.0,8565.189237274624,Bunny,4667,offense,VAL,4405,43143.26137673855,6.091333654754559
5.077773487852263,17.547002500972198,9.52023264575849,66.16944041937008,7814.087248246359,Carpe,4620,offense,PHI,4524,126551.52923566103,5.523441749157689
6.489374672654193,5.417826694299257,1.6323581352509775,8757.885646131777,2609.670610379883,Chipshajen,4125,support,DAL,4523,59913.32287198305,3.7053528223488446
4.326036125068086,15.604630308281312,5.098542575973102,148.50697245433255,6376.303116699055,Choihyobin,5831,tank,SFS,4404,23300.776296317577,3.630780319253572
6.850227880190159,14.132751694567078,6.7172137465942345,182.05885697991027,7354.441337364575,Clockwork,4627,offense,HOU,4525,18043.195374190807,4.88826940965026
